('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         954620 function calls (927560 primitive calls) in 4.112 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  142/137    0.000    0.000    0.004    0.000 css_parser.py:395(freeze)
      674    0.000    0.000    0.002    0.000 typing.py:164(_type_convert)
       25    0.000    0.000    0.002    0.000 subprocess.py:2036(_wait)
       28    0.000    0.000    0.001    0.000 contextlib.py:303(helper)
        2    0.000    0.000    0.125    0.063 utils.py:38(read_version_from_cmd)
      226    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      722    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      132    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
      222    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
       10    0.000    0.000    0.001    0.000 request.py:408(add_handler)
       13    0.000    0.000    0.000    0.000 contextlib.py:485(__init__)
      460    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
        3    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
      772    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      842    0.000    0.000    0.001    0.000 element.py:2168(get)
   202/40    0.000    0.000    0.415    0.010 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      737    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
      354    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       32    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
     1150    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      820    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      128    0.000    0.000    0.003    0.000 _markupbase.py:165(parse_comment)
     1745    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      128    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      361    0.000    0.000    0.001    0.000 enum.py:37(_is_descriptor)
      498    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
        2    0.000    0.000    0.510    0.255 driver.py:39(get_driver_version_to_download)
     1431    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      119    0.000    0.000    0.001    0.000 enum.py:1592(__or__)
        2    0.000    0.000    0.237    0.118 os_manager.py:67(get_browser_version_from_os)
      417    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      219    0.000    0.000    0.001    0.000 _parser.py:85(opengroup)
       26    0.000    0.000    0.000    0.000 contextlib.py:479(_create_cb_wrapper)
       13    0.000    0.000    0.001    0.000 contextlib.py:571(__exit__)
      898    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      755    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      414    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        7    0.000    0.000    2.839    0.406 connectionpool.py:592(urlopen)
      575    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      424    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
      405    0.000    0.000    0.001    0.000 enum.py:1152(__new__)
