('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         954719 function calls (927651 primitive calls) in 9.518 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.000    0.000 {function socket.close at 0x107b93f60}
      470    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
        5    0.000    0.000    0.004    0.001 socket.py:822(create_connection)
        8    0.000    0.000    0.000    0.000 client.py:213(_read_headers)
  255/165    0.000    0.000    0.010    0.000 typing.py:574(__getitem__)
      452    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
       66    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      417    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       63    0.000    0.000    0.000    0.000 message.py:498(get)
        2    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      631    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
       82    0.000    0.000    2.952    0.036 {method 'readline' of '_io.BufferedReader' objects}
     1010    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        8    0.000    0.000    0.003    0.000 client.py:231(_parse_header_lines)
       91    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
       28    0.000    0.000    0.000    0.000 contextlib.py:108(__init__)
      553    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
       39    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        9    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
        1    0.000    0.000    0.003    0.003 typing_extensions.py:1(<module>)
      818    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
        7    0.000    0.000    3.145    0.449 connectionpool.py:377(_make_request)
       90    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
      226    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       15    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
      100    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        2    0.000    0.000    0.000    0.000 ssl.py:1361(_real_close)
        8    0.000    0.000    0.000    0.000 socket.py:304(makefile)
        7    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
  138/109    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
      422    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      279    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        5    0.000    0.000    2.811    0.562 remote_connection.py:406(_request)
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
        8    0.000    0.000    2.952    0.369 client.py:291(_read_status)
      219    0.000    0.000    0.008    0.000 _parser.py:97(closegroup)
       26    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
